vaccinationCenterName,location,vaccineName,vaccinationDate,totalRegistrations,totalBoys,totalGirls
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2023-06-07,474,97,312
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2024-01-17,153,43,51
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2022-11-14,495,72,111
Uhc 15 Kathmandu Metropolitan City,Dallu,Sinopharm,2020-11-08,304,281,6
Uhc 9 Kathmandu Metropolitan City,Gaushala,AstraZeneca,2024-02-15,157,33,83
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2020-11-11,365,161,152
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,AstraZeneca,2023-07-02,399,71,325
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2022-02-04,186,95,42
Uhc 11 Kathmandu Metropolitan City,Babarmahal,AstraZeneca,2020-12-19,409,351,30
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2023-12-19,284,234,16
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2021-01-31,200,122,69
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2023-01-03,356,80,197
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2022-07-10,209,116,7
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2022-12-25,165,114,47
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2023-04-30,437,65,358
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,AstraZeneca,2023-03-13,105,48,18
Uhc 11 Kathmandu Metropolitan City,Babarmahal,AstraZeneca,2024-01-30,340,206,30
Uhc 14 Kathmandu Metropolitan City,Kalanki,Johnson & Johnson,2022-09-18,174,9,65
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Sinopharm,2023-05-06,139,135,0
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2022-10-21,479,147,71
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2024-02-13,293,106,187
Uhc 4 Kathmandu Metropolitan City,Balwatar,Sinopharm,2020-10-22,415,117,139
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Pfizer-BioNTech,2024-01-20,161,52,108
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2022-04-04,305,228,3
Uhc 6 Kathmandu Metropolitan City,Baudhha,Johnson & Johnson,2022-02-14,99,36,7
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,AstraZeneca,2021-03-14,184,69,48
Uhc 2 Kathmandu Metropolitan City,Lazimpat,AstraZeneca,2021-05-19,400,256,13
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2023-12-29,95,0,93
Uhc 1 Kathmandu Metropolitan City,Naxal,Sinopharm,2023-06-06,230,81,58
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2023-01-14,345,318,11
Uhc 9 Kathmandu Metropolitan City,Gaushala,Sinopharm,2023-03-14,364,126,193
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Pfizer-BioNTech,2022-10-26,94,25,13
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2021-10-03,226,133,44
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2021-06-04,405,234,52
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2023-01-04,243,161,29
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2023-03-22,359,51,209
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2021-11-07,145,112,16
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2021-01-19,133,56,72
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2022-05-22,295,257,6
Uhc 13 Kathmandu Metropolitan City,Kalimati,AstraZeneca,2022-12-09,402,371,30
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2023-03-19,166,68,76
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2023-07-20,271,168,35
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Pfizer-BioNTech,2023-12-09,88,82,5
Uhc 18 Kathmandu Metropolitan City,Nardevi,AstraZeneca,2022-11-30,249,37,203
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Moderna,2022-07-23,137,47,48
Uhc 4 Kathmandu Metropolitan City,Balwatar,Sinopharm,2020-11-21,118,17,48
Uhc 1 Kathmandu Metropolitan City,Naxal,Moderna,2021-03-17,189,109,57
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2023-04-20,444,311,35
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2021-01-15,451,292,147
Uhc 12 Kathmandu Metropolitan City,Teku,Johnson & Johnson,2021-11-01,68,41,23
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Pfizer-BioNTech,2022-08-08,346,78,22
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2022-04-06,442,76,209
Uhc 9 Kathmandu Metropolitan City,Gaushala,Sinopharm,2021-08-30,484,389,69
Uhc 15 Kathmandu Metropolitan City,Dallu,Moderna,2021-05-27,77,60,8
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Pfizer-BioNTech,2022-03-12,478,282,141
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2021-04-11,375,236,15
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2021-11-24,306,65,107
Uhc 16 Kathmandu Metropolitan City,Balaju,AstraZeneca,2020-10-08,285,207,10
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2023-10-30,171,63,1
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2023-02-13,91,89,1
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2023-01-23,161,57,55
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2020-11-25,70,4,63
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,AstraZeneca,2024-01-03,472,427,11
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Pfizer-BioNTech,2022-02-27,402,211,19
Uhc 4 Kathmandu Metropolitan City,Balwatar,Sinopharm,2023-12-28,427,197,182
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2023-10-01,420,412,2
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Pfizer-BioNTech,2023-02-01,276,140,91
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2020-12-18,177,111,34
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2022-06-03,248,230,14
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Sinopharm,2021-02-22,332,140,151
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2022-12-12,169,106,49
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Sinopharm,2021-07-21,158,152,3
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Moderna,2022-12-11,307,109,193
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2023-08-03,379,1,124
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2020-10-12,220,134,56
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2021-02-15,462,81,78
Uhc 5 Kathmandu Metropolitan City,Hadigaun,AstraZeneca,2022-04-15,427,402,6
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2020-10-08,256,43,135
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2022-04-15,430,344,38
Uhc 14 Kathmandu Metropolitan City,Kalanki,AstraZeneca,2023-12-17,289,246,27
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2022-01-19,404,318,42
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Sinopharm,2022-01-24,243,14,212
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2021-06-01,251,81,74
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Sinopharm,2023-09-29,403,266,95
Uhc 32 Kathmandu Metropolitan City,Koteshwor,AstraZeneca,2022-07-21,385,138,14
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2021-05-30,72,54,18
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Sinopharm,2020-11-20,275,191,1
Uhc 6 Kathmandu Metropolitan City,Baudhha,Johnson & Johnson,2024-02-06,449,275,4
Uhc 19 Kathmandu Metropolitan City,Damai Tol,AstraZeneca,2021-07-15,123,72,33
Uhc 1 Kathmandu Metropolitan City,Naxal,Johnson & Johnson,2021-09-17,372,18,167
Uhc 14 Kathmandu Metropolitan City,Kalanki,Sinopharm,2022-10-28,220,68,66
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2020-12-16,231,73,135
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Moderna,2024-02-26,123,94,6
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Pfizer-BioNTech,2021-06-09,452,434,5
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2023-11-22,41,1,26
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2023-11-15,248,157,91
Uhc 12 Kathmandu Metropolitan City,Teku,AstraZeneca,2020-10-06,47,39,5
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Sinopharm,2021-02-24,461,22,95
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,AstraZeneca,2023-07-18,284,71,128
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2023-09-17,89,9,58
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2022-10-30,494,3,448
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2023-09-07,186,16,1
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2021-01-30,164,79,9
Uhc 24 Kathmandu Metropolitan City,Makhan,Moderna,2022-09-14,420,290,20
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Pfizer-BioNTech,2022-09-25,268,14,243
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2024-01-02,97,87,3
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2021-11-03,155,136,0
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2023-10-28,38,28,7
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2022-03-24,496,231,174
Uhc 1 Kathmandu Metropolitan City,Naxal,Johnson & Johnson,2023-08-20,243,139,1
Uhc 26 Kathmandu Metropolitan City,Lainchaur,AstraZeneca,2021-01-11,167,46,111
Uhc 14 Kathmandu Metropolitan City,Kalanki,AstraZeneca,2021-03-26,52,24,25
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2022-03-09,329,269,8
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Johnson & Johnson,2023-01-13,408,243,103
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2023-11-18,302,277,11
Uhc 2 Kathmandu Metropolitan City,Lazimpat,AstraZeneca,2023-10-20,252,124,48
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Sinopharm,2023-10-30,498,363,20
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2020-10-11,156,57,25
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2022-08-01,74,4,27
Uhc 2 Kathmandu Metropolitan City,Lazimpat,AstraZeneca,2021-09-05,287,109,130
Uhc 22 Kathmandu Metropolitan City,Te Bahal,AstraZeneca,2021-04-10,193,176,5
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Sinopharm,2021-03-12,120,39,51
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Johnson & Johnson,2024-02-16,66,61,3
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2022-02-19,159,64,26
Uhc 12 Kathmandu Metropolitan City,Teku,Sinopharm,2022-05-28,124,56,22
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Sinopharm,2022-06-27,334,47,200
Uhc 4 Kathmandu Metropolitan City,Balwatar,Sinopharm,2022-10-04,101,0,50
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,AstraZeneca,2023-06-16,309,270,2
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Sinopharm,2022-03-08,332,245,10
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Sinopharm,2023-08-21,296,109,15
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Sinopharm,2023-11-18,242,213,20
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Pfizer-BioNTech,2023-07-29,38,27,3
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Moderna,2020-12-10,332,195,90
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Sinopharm,2023-09-26,410,404,5
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2021-03-23,417,275,142
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2022-11-04,291,261,15
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2021-04-02,272,94,120
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Sinopharm,2021-03-22,179,156,7
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2020-10-30,88,60,10
Uhc 5 Kathmandu Metropolitan City,Hadigaun,AstraZeneca,2021-08-17,176,53,110
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2021-05-03,309,248,5
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2023-01-10,75,8,61
Uhc 12 Kathmandu Metropolitan City,Teku,Sinopharm,2020-11-06,365,246,107
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Pfizer-BioNTech,2022-10-07,305,195,99
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,AstraZeneca,2022-07-07,303,154,69
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Sinopharm,2022-02-11,365,120,182
Uhc 15 Kathmandu Metropolitan City,Dallu,AstraZeneca,2022-10-16,172,120,15
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2022-03-12,56,52,3
Uhc 1 Kathmandu Metropolitan City,Naxal,Pfizer-BioNTech,2022-07-01,214,31,60
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2023-02-03,327,15,300
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2021-09-16,298,173,64
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Sinopharm,2020-10-25,35,27,4
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2023-10-03,377,321,2
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2022-09-13,258,142,11
Uhc 6 Kathmandu Metropolitan City,Baudhha,Pfizer-BioNTech,2023-10-08,149,77,61
Uhc 15 Kathmandu Metropolitan City,Dallu,AstraZeneca,2022-10-24,47,13,21
Uhc 26 Kathmandu Metropolitan City,Lainchaur,AstraZeneca,2022-09-01,405,189,137
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2022-10-25,323,196,125
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2022-10-29,488,9,191
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Pfizer-BioNTech,2022-10-30,374,323,36
Uhc 4 Kathmandu Metropolitan City,Balwatar,Sinopharm,2023-05-22,466,112,20
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2023-04-24,213,46,147
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Pfizer-BioNTech,2021-10-27,259,214,9
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Sinopharm,2022-03-05,226,136,6
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2021-06-30,30,5,18
Uhc 9 Kathmandu Metropolitan City,Gaushala,Sinopharm,2021-01-28,210,36,111
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Pfizer-BioNTech,2022-08-17,498,73,74
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Pfizer-BioNTech,2023-12-08,322,88,24
Uhc 12 Kathmandu Metropolitan City,Teku,AstraZeneca,2020-11-07,176,1,71
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2023-03-14,165,136,23
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2023-12-11,322,133,180
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2023-10-26,318,187,123
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2021-12-12,113,18,36
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Sinopharm,2023-08-22,68,18,15
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,AstraZeneca,2020-10-03,222,171,16
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Pfizer-BioNTech,2023-12-21,117,26,12
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Pfizer-BioNTech,2023-10-20,142,110,24
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2023-12-19,391,206,83
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2023-11-25,395,187,44
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2021-05-01,372,361,3
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Sinopharm,2022-04-28,104,13,1
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2023-04-16,129,52,36
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2023-04-16,270,231,19
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Johnson & Johnson,2020-11-02,77,61,1
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2024-02-27,412,264,95
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2022-10-27,305,296,1
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Pfizer-BioNTech,2023-03-29,354,163,171
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Moderna,2023-04-29,419,305,70
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2023-12-22,474,74,130
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Johnson & Johnson,2021-05-18,429,123,206
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2021-06-19,345,65,211
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Sinopharm,2021-12-06,30,19,6
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2023-01-08,371,37,205
Uhc 13 Kathmandu Metropolitan City,Kalimati,AstraZeneca,2021-05-25,83,56,26
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Sinopharm,2022-09-28,158,17,50
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2021-05-25,303,91,50
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Pfizer-BioNTech,2021-08-11,102,93,9
Uhc 1 Kathmandu Metropolitan City,Naxal,Sinopharm,2022-01-24,239,215,0
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Pfizer-BioNTech,2022-07-01,275,173,14
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,AstraZeneca,2022-08-25,456,142,51
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Moderna,2020-11-26,463,399,58
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Sinopharm,2022-11-08,44,16,26
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2022-06-29,248,172,76
Uhc 9 Kathmandu Metropolitan City,Gaushala,Sinopharm,2023-07-27,108,46,25
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2021-02-14,157,64,5
Uhc 9 Kathmandu Metropolitan City,Gaushala,AstraZeneca,2022-05-11,396,134,48
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2022-11-13,295,34,119
Uhc 32 Kathmandu Metropolitan City,Koteshwor,AstraZeneca,2023-09-02,240,200,16
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Johnson & Johnson,2023-06-18,61,54,1
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2022-08-30,348,11,320
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2023-12-31,307,239,15
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Sinopharm,2021-11-17,129,110,11
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Johnson & Johnson,2021-06-15,177,7,154
Uhc 18 Kathmandu Metropolitan City,Nardevi,AstraZeneca,2021-02-16,455,259,146
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Sinopharm,2023-12-18,440,90,54
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2023-06-30,203,12,137
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,AstraZeneca,2020-11-20,54,45,1
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Sinopharm,2022-06-20,442,221,59
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2023-05-15,169,17,98
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2022-04-03,107,36,64
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2023-08-14,180,120,29
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2021-05-29,444,352,60
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2023-03-20,241,182,55
Uhc 6 Kathmandu Metropolitan City,Baudhha,Pfizer-BioNTech,2022-03-10,426,177,143
Uhc 12 Kathmandu Metropolitan City,Teku,Sinopharm,2023-06-25,195,6,188
Uhc 5 Kathmandu Metropolitan City,Hadigaun,AstraZeneca,2021-09-17,285,195,10
Uhc 1 Kathmandu Metropolitan City,Naxal,Pfizer-BioNTech,2022-06-19,137,92,40
Uhc 4 Kathmandu Metropolitan City,Balwatar,Sinopharm,2021-05-31,260,20,22
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Johnson & Johnson,2022-05-17,32,21,10
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2024-02-09,146,3,30
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Moderna,2021-11-15,332,9,76
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2023-05-26,138,49,33
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2022-12-04,136,33,62
Uhc 11 Kathmandu Metropolitan City,Babarmahal,AstraZeneca,2022-08-06,260,209,12
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2022-04-29,47,5,23
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,AstraZeneca,2022-02-10,218,160,4
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2022-12-13,469,31,339
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Moderna,2022-09-20,310,155,5
Uhc 4 Kathmandu Metropolitan City,Balwatar,Moderna,2021-06-04,377,257,115
Uhc 9 Kathmandu Metropolitan City,Gaushala,Sinopharm,2021-09-16,388,287,33
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2022-01-14,91,91,0
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2023-12-31,446,185,122
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,AstraZeneca,2024-02-14,268,47,73
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2023-08-11,60,36,17
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Moderna,2022-09-19,372,279,63
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Sinopharm,2023-03-25,189,141,6
Uhc 1 Kathmandu Metropolitan City,Naxal,Sinopharm,2023-11-12,409,112,254
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2023-07-12,155,6,66
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Pfizer-BioNTech,2022-05-23,103,91,2
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2023-02-01,427,6,369
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2023-05-13,182,74,3
Uhc 25 Kathmandu Metropolitan City,Masan Galli,AstraZeneca,2021-04-06,360,59,290
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2021-11-11,364,305,45
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2023-04-25,319,18,78
Uhc 10 Kathmandu Metropolitan City,Baneshwor,AstraZeneca,2021-05-21,494,439,51
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Pfizer-BioNTech,2021-08-13,320,133,3
Uhc 19 Kathmandu Metropolitan City,Damai Tol,AstraZeneca,2020-12-01,129,111,4
Uhc 25 Kathmandu Metropolitan City,Masan Galli,AstraZeneca,2023-08-23,476,292,172
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Moderna,2021-11-04,364,323,27
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Johnson & Johnson,2022-02-23,275,153,39
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Pfizer-BioNTech,2021-09-18,344,21,197
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2021-04-04,424,57,121
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Pfizer-BioNTech,2021-10-26,232,26,51
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2021-09-15,318,143,39
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Pfizer-BioNTech,2021-08-21,351,156,53
Uhc 19 Kathmandu Metropolitan City,Damai Tol,AstraZeneca,2023-12-21,313,276,3
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2021-05-11,66,20,37
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,AstraZeneca,2022-04-22,217,48,16
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,AstraZeneca,2021-10-02,287,241,16
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2022-05-28,381,144,136
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2021-06-21,86,73,6
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2021-05-15,417,199,211
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2023-12-23,114,58,21
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2020-11-24,424,213,83
Uhc 9 Kathmandu Metropolitan City,Gaushala,Johnson & Johnson,2023-05-02,169,49,63
Uhc 12 Kathmandu Metropolitan City,Teku,Sinopharm,2023-03-14,471,320,54
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2023-09-28,333,226,2
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2023-02-26,361,258,38
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2020-10-29,72,4,53
Uhc 24 Kathmandu Metropolitan City,Makhan,Pfizer-BioNTech,2023-11-17,41,8,25
